BER,OSNR,InputPower
0.008843265,22.3,-8.22
0.009076744,22.3,-8.22
0.009637913,21.8,-8.41
0.01034242,21.5,-8.42
0.009932614,22.1,-8.42
0.0103329,21.8,-8.42
0.01005041,22.1,-8.41
0.01033806,21.2,-8.41
0.01074095,21.8,-8.65
0.01165926,21.2,-8.64
0.01156542,21.5,-8.65
0.01177486,21.8,-8.64
0.01170861,21.5,-8.65
0.01132894,21.2,-8.71
0.01190914,21.5,-8.71
0.01227498,21.5,-8.84
0.01218468,21.2,-8.84
0.0126481,21.2,-8.84
0.01391304,20.7,-9.03
0.01403859,20.7,-9.03
0.001833333,29.1,-5.06
0.001594585,30.1,-5.06
0.001946699,30.1,-5.06
0.001781491,30.1,-5.06
0.001908598,28.7,-5.06
0.001853905,29.6,-5.06
0.001667126,29.6,-5.06
0.001626864,29.1,-5.06
0.001748844,28.7,-5.06
0.001912633,28.3,-5.06
0.001656794,28.3,-5.06
0.001823579,29.1,-5.06
0.002048032,27.4,-5.46
0.002390418,28.3,-5.46
0.002709989,27.8,-5.73
0.002625416,28.7,-5.74
0.002715487,27.4,-5.73
0.002817209,27.0,-5.74
0.002465359,27.4,-5.73
0.002499773,27.8,-5.74
0.002455076,28.3,-5.74
0.002711567,28.3,-5.74
0.002511565,26.6,-5.74
0.002419535,27.0,-5.74
0.002918577,26.3,-6.04
0.003212231,26.6,-6.04
0.002855908,26.3,-6.04
0.00286063,26.3,-6.03
0.004811347,25.9,-6.86
0.00469677,24.5,-6.86
0.004883912,25.2,-6.86
0.004392016,25.2,-6.86
0.004482358,24.8,-6.86
0.004681817,24.8,-6.86
0.004657305,24.2,-6.86
0.006098094,23.8,-7.37
0.006164587,23.8,-7.36
0.005581845,23.5,-7.36
0.006067311,24.2,-7.37
0.006155785,24.5,-7.37
0.00561505,24.5,-7.36
0.005895764,24.2,-7.37
0.006199983,23.8,-7.36
0.005756609,24.5,-7.37
0.006126558,23.8,-7.36
0.006076092,24.2,-7.36
0.00560787,24.2,-7.37
0.006019861,23.8,-7.36
0.006784434,23.8,-7.64
0.006899254,23.2,-7.63
0.006860237,23.2,-7.64
0.007790005,22.9,-7.87
0.007953173,22.6,-7.87
0.007625127,23.2,-7.86
0.008695441,22.3,-8.21
0.00875604,22.3,-8.22
0.008555139,22.1,-8.21
0.007460972,22.9,-7.92
0.007341871,23.2,-7.93
0.008726932,22.3,-8.1
0.008695632,22.3,-8.1
0.006446274,23.2,-7.64
0.006663881,23.2,-7.63
0.00667594,23.8,-7.64
0.007211603,23.8,-7.75
0.006931053,23.2,-7.75
0.008642376,23.2,-8.21
0.008584295,22.6,-8.21
0.01025055,22.3,-8.39
0.01042217,21.8,-8.4
0.009561522,21.8,-8.4
0.01092977,21.2,-8.52
0.01071618,21.8,-8.52
0.01095754,21.8,-8.52
0.01062741,21.8,-8.52
0.001823834,28.3,-5.05
0.001837783,29.6,-5.05
